repo,default_branch,stars,forks,domain,language,last_update,is_fork,selected,activity_level,loc
Alex-0274/Dijkstra_OpenCL_implementation,main,1,0,hpc,C,2025-09-12T20:08:25Z,False,,Low,375
hhlxm/MoE-device,master,0,0,other,C++,2025-09-16T16:53:21Z,False,,Low,213908
xiaoxiaozengzen/opencl_example,main,0,0,other,C++,2025-09-12T07:19:44Z,False,,Low,258
Ron-Bee/llama-cpp-sanbox,main,0,0,other,C++,2025-09-11T03:19:54Z,False,,Low,140980
msft-mirror-aosp/platform.external.OpenCL-CTS,android11-d1-b-release,0,0,other,C++,2025-11-13T01:05:03Z,False,,Low,193845
mtb0x1/OpenCLAndroidExample,main,0,0,other,C,2025-09-10T15:21:41Z,False,,Low,6853
intel/compute-samples,master,109,17,other,C++,2025-09-10T13:15:11Z,False,,High,14842
Milkyway-at-home/milkywayathome_client,master,49,29,other,C,2025-11-14T23:30:36Z,False,,Medium,209493
mfeemster/fractorium,master,1,2,other,C++,2025-09-09T17:26:28Z,False,,Low,80044
rjodinchr/opencl-kernel-profiler,main,7,2,other,C++,2025-09-09T04:32:59Z,False,,Low,411
xb-Bogger/Packer-encrypt,main,0,0,other,C,2025-09-08T15:37:14Z,False,,Low,15575
fidulin/FastRuleForge,main,1,1,other,C++,2025-09-28T16:44:57Z,False,,Low,1494
Retryixagi/2025_OpenCL2.0,main,1,0,other,C,2025-09-07T11:30:14Z,False,,Low,1453
arrayfire/arrayfire,master,4823,550,hpc,C++,2025-09-05T19:23:19Z,False,,High,122242
PengKun-PK/ModernCPlusPlusDemo,main,2,0,other,C++,2025-09-05T09:47:57Z,False,,Low,1287
OpenVisualCloud/Video-Super-Resolution-Library,main,76,13,computer_vision,C++,2025-09-05T05:28:05Z,False,,Medium,3548
FredericRezeau/kale-miner,main,13,6,other,C++,2025-09-04T11:30:44Z,False,,Low,692
barcon/club,main,0,0,other,C++,2025-09-03T19:05:03Z,False,,Low,825
TIAGOOOLIVEIRA/Master-HighPerformanceComputing-UniversidadSantiagoCompostela_code_cuda-mpi-omp,main,2,0,hpc,C,2025-09-03T10:57:11Z,False,,Low,5473
xms0g/juliacl,main,0,0,other,C,2025-09-02T21:30:04Z,False,,Low,1183
KhronosGroup/OpenCL-SDK,main,711,152,other,C++,2025-09-02T17:33:51Z,False,,High,3859
kpet/OpenCL-Tools,main,2,4,other,C++,2025-11-01T17:16:28Z,False,,Low,3562
michele-segata/cooperis,main,1,0,computer_vision,C++,2025-09-01T09:37:25Z,False,,Low,15131
Suyashpanchal07/Ethminer,main,0,0,other,C++,2025-08-31T08:40:10Z,False,,Low,11294
silviaralcaraz/syclomatic-eval,main,0,0,other,C,2025-08-30T15:59:55Z,False,,Low,132875
NikolaPleicFOI/Diplomski_analiza_dionica,main,0,0,other,C,2025-08-27T17:14:19Z,False,,Low,556
tugrul512bit/libGPGPU,master,11,3,hpc,C++,2025-08-27T13:16:25Z,False,,Low,10522
microsoft/OpenCLOn12,master,121,17,other,C++,2025-08-26T17:57:36Z,False,,High,21121
jjfumero/opencl-samples,master,0,1,other,C++,2025-08-25T12:15:44Z,False,,Low,1525
cevinov/xmrig-0,main,0,0,other,C,2025-08-25T10:40:32Z,False,,Low,113691
pnocera/llama.tmp,main,0,0,other,C++,2025-08-25T08:46:41Z,False,,Low,157461
tugrul512bit/UfSaCL,master,4,1,hpc,C++,2025-08-23T17:45:50Z,False,,Low,10848
argonne-lcf/alcl,master,10,3,other,C,2025-08-22T16:34:19Z,False,,Low,10660
Unarmed1000/RAIIGen,master,8,0,other,C++,2025-08-22T15:08:11Z,False,,Low,6388179
william-lijunxuan/MNN,main,0,0,other,C++,2025-08-22T00:12:18Z,False,,Low,1593121
xiongyunuo/MD-Lab,main,1,1,other,C,2025-08-19T09:06:09Z,False,,Low,7450
AxisCommunications/acap3-examples,main,60,19,computer_vision,C,2025-08-19T01:23:15Z,False,,Medium,4363
zihaomu/opencv_lite,main,23,5,computer_vision,C++,2025-08-18T06:59:13Z,False,,Medium,350131
rplant8/xmrig-vrl,master,2,3,other,C,2025-08-16T19:21:44Z,False,,Low,113704
glaretechnologies/winter,master,12,2,other,C++,2025-08-14T09:49:35Z,False,,Low,21743
boostorg/compute,master,1633,338,other,C++,2025-11-13T01:18:35Z,False,,High,34587
davenza/PyBNesian,master,48,13,other,C++,2025-08-12T20:02:51Z,False,,Medium,164209
Trunglq/petrotimes-ai,master,0,0,other,C++,2025-08-12T12:03:28Z,False,,Low,153563
eclipse-oniro-mirrors/third_party_opencl-headers,master,0,0,other,C,2025-11-17T12:21:34Z,False,,Low,6794
ReeceT28/RayBox---Optics-Simulation-Tool,main,2,0,hpc,C++,2025-08-10T12:42:48Z,False,,Low,53963
adriensalon/clecs,master,0,0,other,C++,2025-08-10T11:19:54Z,False,,Low,533
Joewus12345/Model-Tests,master,0,0,ml,C++,2025-08-08T11:24:47Z,False,,Low,153395
AdonisCode73/TaskManagerPlus,master,0,0,other,C++,2025-08-07T20:42:44Z,False,,Low,31922
nt168/llama.cpp,master,0,0,other,C++,2025-08-06T02:26:31Z,False,,Low,153066
LiamMohler/OpenCL-CNN-Forward-Pass-Kernel,main,0,0,hpc,C++,2025-08-05T21:39:16Z,False,,Low,87437
VOCOM/Kizuna-Project,main,0,0,other,C,2025-08-05T21:33:04Z,False,,Low,273080
roahmlab/sel_map,main,143,12,computer_vision,C++,2025-08-05T02:30:56Z,False,,High,4836
Prtm2110/parallelbrot,master,0,0,hpc,C++,2025-08-04T20:49:50Z,False,,Low,1528
pokiochain/pokio-xmrig,main,0,0,other,C,2025-08-01T19:19:58Z,False,,Low,113761
gustavoaureliano/test-opencl,main,0,0,other,C,2025-08-01T02:40:17Z,False,,Low,912
UNIPR-leela-zero/leela-zero-OthelloGo,main,2,1,other,C++,2025-07-31T13:06:51Z,False,,Low,16656
tim42/tools,master,3,1,other,C++,2025-07-30T01:34:25Z,False,,Low,12901
Muetzen/oclcheck,main,0,0,other,C++,2025-07-28T17:15:52Z,False,,Low,711
